Country,Code,ContinentCode,Year,Exports of goods and services as percent of GDP,Imports of goods and services as percent of GDP,Government spending as percent of GDP,Government debt as percent of GDP,Tax revenue percent of GDP,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) ,Quality of roads 1(low) - 7(high),Quality of railroad infrastructure 1(low) - 7(high),Quality of port infrastructure 1(low) - 7(high),Quality of air transport infrastructure 1(low) - 7(high),Human rights and rule of law index 0 (high) - 10 (low),External interventions index 0 (low) - 10 (high),GDP per capita constant 2010 dollars,Economic growth forecast,Income from natural resources percent of GDP,Revenue minus production cost of oil percent of GDP,Revenue minus production cost of natural gas percent of GDP,Innovations index (0-100),Property rights index (0-100),Freedom from corruption index (0-100),Business freedom index (0-100),Trade freedom index (0-100),Economic freedom overall index (0-100),Health spending as percent of GDP,Gini income inequality index,Poverty percent of population,Percent income earned by the top 10 percent of earners,Globalization index (0-100),Economic globalization index (0-100),Military spending percent of GDP,Human Development Index (0 - 1),GDP per capita constant 2010 dollars,Fragile state index 0 (low) - 120 (high),Factionalized elites index 0 (low) - 10 (high),Economic decline index 0 (low) - 10 (high),Uneven economic development index 0 (low) - 10 (high),External interventions index 0 (low) - 10 (high),,,,,,,,,,,,Revenue minus production cost of oil percent of GDP,Gini income inequality index,Poverty percent of population,Percent income earned by the top 10 percent of earners
Bosnia and Herzegovina,BIH,EU,2018,42.12,57.1,19.77,34.27,20.44,-0.23,-0.62,-0.57,-0.21,-0.24,-0.39,38,4,4,2.8,2.1,2,3.3,5.3,7.9,6096.92,3.74,1.19,0,0,31.1,40,28,49,88,61,8.9,53.3,,,68.78,61.04,0.87,0.769,6096.92,71.3,8.7,6,5,7.9,,,,,,,,,,,,0,53.3,,41.5
Botswana,BWA,AF,2018,40.34,39.17,18.2,18.1,19.84,0.47,0.33,0.75,0.45,0.48,0.98,61,3,2,3.6,3.5,3,3.8,5,3.8,8032.68,4.48,1.22,0,0,28.2,58,57,70,84,70,5.85,51.3,,,55.59,55.95,2.68,0.728,8032.68,62,3.3,5.7,7.5,3.8,,,,,,,,,,,,1.07,51.3,,40.9
Brazil,BRA,SA,2018,14.89,14.51,20.08,75.27,14.18,-0.25,-0.45,-0.4,-0.32,0.4,-0.39,35,2,2,3,2.5,3.1,4.4,6.7,3.4,11079.71,1.78,4.64,2.07,0.06,33.4,56,31,59,69,51,9.51,,,42.5,64.49,41.4,1.51,0.761,11079.71,68.7,5.2,4.5,7.7,3.4,,,,,,,,,,,,7.73,,,
Brunei,BRN,AS,2018,51.93,41.96,24.14,2.59,,0.63,1.25,0.8,0.69,-0.84,1.25,63,6,5,4.9,3.6,4.1,4.6,7.4,3.3,31436.87,0.05,25.43,11.69,13.69,32.8,57,45,80,89,64,2.41,,,,62.12,67.11,2.64,0.845,31436.87,59.8,7.4,3.8,7.8,3.3,,,,,,,,,,,,0.01,,22.9,28.7
Bulgaria,BGR,EU,2018,65.82,63.27,16.45,22.3,20.17,-0.03,0.27,-0.15,0.59,0.32,0.46,42,2,2,3.5,3.3,4.2,4.4,3.2,4,8674.72,3.09,0.92,0.01,0.01,42.6,64,38,64,87,68,7.35,,22.6,,79.77,75.21,1.48,0.816,8674.72,51.7,5.3,5.5,4.1,4,,,,,,,,,,,,0,,,
Burkina Faso,BFA,AF,2018,28.13,32.17,16.99,37.65,15.13,-0.45,-0.58,-0.11,-0.37,-0.04,-1.05,41,4,3,2.7,2.7,2.8,3.2,5.9,7.8,800.31,6.82,14.17,0,,18.9,42,32,52,66,60,5.63,38.1,41.4,,52.23,42.18,2.13,0.434,800.31,86.5,7.8,6.6,7.9,7.8,,,,,,,,,,,,0.21,38.1,32.1,31.7
Burma (Myanmar),MMR,AS,2018,30.39,30.3,18.3,38.4,2.63,-1.03,-1.07,-0.59,-0.74,-0.89,-1.26,29,5,5,,,,,9,7.4,1573.15,6.41,6.59,0.17,3.45,,33,28,54,71,54,4.79,,,,43.73,39.22,,0.584,1573.15,96.1,8.3,5.6,7.4,7.4,,,,,,,,,,,,0,,,
Burundi,BDI,AF,2018,9.4,29.81,26.21,47.3,,-1.5,-1.42,-1.45,-0.98,-1.66,-1.56,17,7,6,3,2.1,2.6,2.9,8.9,8.7,210.8,1.61,11.21,0,,,18,26,53,69,51,7.74,,,,40.11,31.39,1.88,0.423,210.8,97.4,7.9,8.1,7,8.7,,,,,,,,,,,,0,,,
Cambodia,KHM,AS,2018,61.6,63.3,4.93,28.64,17.05,-1.11,-0.57,-1.33,-0.5,-1.22,0.11,20,6,5,3.3,2.2,3.6,3.6,7.8,7.1,1202.62,7.53,0.84,0,0,26.7,36,18,31,80,59,6.03,,,,59.29,67.31,2.22,0.581,1202.62,84,8.6,5.5,6.5,7.1,,,,,,,,,,,,2.14,,,
Cameroon,CMR,AF,2018,19.31,23.7,11.11,39.47,12.76,-1.08,-0.8,-1.15,-0.8,-1.12,-1.39,25,6,6,2.8,2.8,3.1,3.2,7.6,7.5,1502.17,4.06,6.2,3.14,0.43,23.8,41,23,44,53,52,3.53,,,,50.51,37.74,1.11,0.563,1502.17,95.3,9.1,6.7,7.5,7.5,,,,,,,,,,,,0.04,,,
